Tweets;TF;IDF;TF-IDF
A nova ideia genial de Bolsonaro: cancelar urnas em que ele perdeu e validar as que ele ganhou. Toma vergonha! Chora na cama, que é lugar quente...;Positivo;Negativo;Negativo
Resumindo: a lei exige que todas as urnas sejam auditáveis e as anteriores a 2020 não são. Desta feita, restam ao TSE duas opções: 1. Descartar as urnas não-auditáveis. 2. Entregar o código-fonte e provar que essas urnas são auditáveis. De um jeito ou de outro, Bolsonaro;Negativo;Negativo;Negativo
ATENÇÃO: Apesar da contestação do PL e do futuro ex-presidente Jair Bolsonaro, não há indícios de fraude no sistema de votação. A segurança das urnas já foi comprovada pelo TCU, a OAB e pelas Forças Armadas. Lula foi eleito e nada muda o destino de Bolsonaro.;Positivo;Positivo;Negativo
URGENTE! O Governo Bolsonaro bloqueia mais R$ 5,7 bi e amplia risco de paralisação de serviços públicos em 2022. Pode faltar dinheiro até para pagar a conta de luz. O resumo é um só: BOLSONARO DESTRUIU O BRASIL.;Positivo;Negativo;Negativo
Relatório de auditoria das urnas aponta Bolsonaro presidente legítimo do Brasil. LULA NO PODER É GOLPE.;Negativo;Negativo;Negativo
Entendam: o caminho que bolsonaro abriu é só de ida. Não tem opção de dar marcha ré e nem meia volta. É pra frente, só pra frente.;Positivo;Negativo;Negativo
Bolsonaro 51% Subam essa Tag , vai;Positivo;Negativo;Negativo
Não assisto a globolixo há um tempão,  mas estou mega ansiosa pra assistir logo, logo,  o momento em que Willian Boner tristemente anunciará:  Lula deseleito e Jair Bolsonaro REELEITO! Quem mais?;Positivo;Negativo;Negativo
O Brasil estava há 4 anos isolado do mundo. E não foi o mundo que isolou o nosso país, foi o Brasil que se isolou. Estou feliz com as viagens e conversas que tivemos na última semana, porque nosso país retomou a sua habitual atitude democrática: conviver com o mundo. Bom dia.;Negativo;Negativo;Negativo
Lembra do pessoal que reclamava que o Lula havia gasto R$300 mil no cartão corporativo em 8 anos e que a Dilma havia gasto R$350 mil em 5 anos? Pois é, agora eles não tem mais com o que se preocupar, já que Bolsonaro gastou apenas 9,8 milhões em 11 meses.;Negativo;Negativo;Negativo
Usar de meios ilegais para impedir a reeleição do Bolsonaro é um atentado gravíssimo contra a democracia. Em outras palavras isso é GOLPE!;Negativo;Negativo;Negativo
“Supremo é o povo” e os 60 milhões que votaram no Lula era cachorro é?;Positivo;Negativo;Negativo
"Passei na esgotosfera agora. Em resumo, eis a reação dos petralhas: questionar a credibilidade do Valdemar (nada importa aqui), chamar Bolsonaro de ""mau perdedor"" (irrelevante) ou insinuar golpismo (ridículo). O que nenhum fez foi rebater o que os técnicos mostraram!";Negativo;Negativo;Negativo
Bolsonaro 51%? Não... O certo é: Bolsonaro 51 imóveis comprados com dinheiro vivo, taokei?;Neutro;Negativo;Negativo
Ação de Bolsonaro no TSE é chicana que tem de ser punida como litigância de má fé. Chega de catimba, de irresponsabilidade, de insultos às instituições e à democracia. A eleição foi decidida no voto e o Brasil precisa de paz para construir um futuro melhor;Negativo;Negativo;Negativo
O general Heleno era esperado nesta manhã na Comissão de Fiscalização da Câmara, por requerimento meu, para depor sobre interferência da Abin na investigação da PF sobre Renan Bolsonaro. Mas não compareceu, assessoria informou em cima da hora que foi por motivos de saúde.;Positivo;Negativo;Negativo
Bolsonaro tá recluso, fugindo do seu dever de presidente. Isso é estratégico para inflar sua horda contra a Democracia e desestabilizar o processo de transição. Tá tentando sobreviver na política porque sabe que a gente vai descobrir o que tá escondido no esgoto de seu governo.;Negativo;Negativo;Negativo
**** Entendo a irritação das pessoas, mas precisamos de racionalidade. Fábio Faria e Ciro Nogueira foram criticados por apoiadores do governo, ok.        Pergunta - o Bolsonaro perdeu, o gov já acabou, pq eles ainda continuam Ministros? Pensem…;Negativo;Negativo;Negativo
